"lon","lat","group","income","geoid","inc_level"
-122.774752091797,45.5338353831035,111,122222,"14000US41051001202","normal"
-122.775062092743,45.5338353823437,111,122222,"14000US41051001202","normal"
-122.775111092663,45.5338353827208,111,122222,"14000US41051001202","normal"
-122.775155092138,45.5338353821504,111,122222,"14000US41051001202","normal"
-122.775504092384,45.5338323819758,111,122222,"14000US41051001202","normal"
-122.776098092596,45.5338403800477,111,122222,"14000US41051001202","normal"
-122.7776410946,45.5338703763852,111,122222,"14000US41051001202","normal"
-122.778204093986,45.5338803750597,111,122222,"14000US41051001202","normal"
-122.779276094945,45.5339013720753,111,122222,"14000US41051001202","normal"
-122.780919096928,45.5339323684744,111,122222,"14000US41051001202","normal"
-122.781033096315,45.533935368336,111,122222,"14000US41051001202","normal"
-122.781145097112,45.5339373680429,111,122222,"14000US41051001202","normal"
-122.782339097997,45.5339603645,111,122222,"14000US41051001202","normal"
-122.783662098345,45.5339853618434,111,122222,"14000US41051001202","normal"
-122.784203098676,45.5339953605369,111,122222,"14000US41051001202","normal"
-122.78484709997,45.5340073588776,111,122222,"14000US41051001202","normal"
-122.784875099899,45.53400835862,111,122222,"14000US41051001202","normal"
-122.784840112403,45.5363253601075,111,122222,"14000US41051001202","normal"
-122.784821120471,45.537617360279,111,122222,"14000US41051001202","normal"
-122.784776136797,45.5406433620982,111,122222,"14000US41051001202","normal"
-122.784767145052,45.5419343624483,111,122222,"14000US41051001202","normal"
-122.784767145266,45.541965362933,111,122222,"14000US41051001202","normal"
-122.784767146614,45.5423143627871,111,122222,"14000US41051001202","normal"
-122.784767147858,45.5424203628533,111,122222,"14000US41051001202","normal"
-122.784768155892,45.5439733634101,111,122222,"14000US41051001202","normal"
-122.784768160632,45.5447103639173,111,122222,"14000US41051001202","normal"
-122.784769163129,45.5451523638798,111,122222,"14000US41051001202","normal"
-122.784771181656,45.5482833652109,111,122222,"14000US41051001202","normal"
-122.78477018104,45.548356365469,111,122222,"14000US41051001202","normal"
-122.784770181655,45.5484163661167,111,122222,"14000US41051001202","normal"
-122.784821182475,45.5484183653468,111,122222,"14000US41051001202","normal"
-122.784919182177,45.5484183654649,111,122222,"14000US41051001202","normal"
-122.784860279328,45.5655383740019,111,122222,"14000US41051001202","normal"
-122.784709280365,45.5655333735054,111,122222,"14000US41051001202","normal"
-122.781615274129,45.5648943795589,111,122222,"14000US41051001202","normal"
-122.779813270105,45.5645223831341,111,122222,"14000US41051001202","normal"
-122.779162269192,45.5643883843687,111,122222,"14000US41051001202","normal"
-122.777105264499,45.5639643885612,111,122222,"14000US41051001202","normal"
-122.774674260445,45.5634623939886,111,122222,"14000US41051001202","normal"
-122.774480259805,45.5634223940332,111,122222,"14000US41051001202","normal"
-122.773309257957,45.5631803960768,111,122222,"14000US41051001202","normal"
-122.772112255408,45.5629323991084,111,122222,"14000US41051001202","normal"
-122.767338245485,45.5618034086865,111,122222,"14000US41051001202","normal"
-122.765903243199,45.5615504109391,111,122222,"14000US41051001202","normal"
-122.765575241964,45.5614924120834,111,122222,"14000US41051001202","normal"
-122.765543242498,45.5614734116501,111,122222,"14000US41051001202","normal"
-122.765471242401,45.5614424124078,111,122222,"14000US41051001202","normal"
-122.765321242344,45.5614364128381,111,122222,"14000US41051001202","normal"
-122.765109242411,45.5615004129602,111,122222,"14000US41051001202","normal"
-122.764871242517,45.5615584129825,111,122222,"14000US41051001202","normal"
-122.764535241537,45.5615924141149,111,122222,"14000US41051001202","normal"
-122.764422241723,45.5616184139725,111,122222,"14000US41051001202","normal"
-122.764314242319,45.561652414984,111,122222,"14000US41051001202","normal"
-122.764203243002,45.5617014151023,111,122222,"14000US41051001202","normal"
-122.764019242592,45.5617314150537,111,122222,"14000US41051001202","normal"
-122.763834242817,45.5617414154835,111,122222,"14000US41051001202","normal"
-122.763599242974,45.5617754164167,111,122222,"14000US41051001202","normal"
-122.763314243356,45.5618994171442,111,122222,"14000US41051001202","normal"
-122.763109242462,45.5619454172399,111,122222,"14000US41051001202","normal"
-122.762978242766,45.5619214170861,111,122222,"14000US41051001202","normal"
-122.762886241974,45.5618394173438,111,122222,"14000US41051001202","normal"
-122.762591240056,45.56142841854,111,122222,"14000US41051001202","normal"
-122.762482238741,45.5613244179909,111,122222,"14000US41051001202","normal"
-122.762349237985,45.5612494186575,111,122222,"14000US41051001202","normal"
-122.762241238007,45.5612044187661,111,122222,"14000US41051001202","normal"
-122.762115238469,45.5612094190974,111,122222,"14000US41051001202","normal"
-122.762002238854,45.5612564193453,111,122222,"14000US41051001202","normal"
-122.761916238143,45.5613404191611,111,122222,"14000US41051001202","normal"
-122.761821240358,45.5616284196414,111,122222,"14000US41051001202","normal"
-122.761730240501,45.5617914202472,111,122222,"14000US41051001202","normal"
-122.761619241043,45.5618854200276,111,122222,"14000US41051001202","normal"
-122.761491241833,45.5619454206588,111,122222,"14000US41051001202","normal"
-122.761326242014,45.5619634204547,111,122222,"14000US41051001202","normal"
